district,idp_out_camp,total,health_issue.chronic,Number_of_health_issue.chronic,above64,Number_of_above64,above64_with_chronic,Number_of_above64_with_chronic,above64_or_chronic,Number_of_above64_or_chronic,district_iom,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode
al.kufa,2118,2118,0.1494661921708185,316.56939501779357,0.01779359430604982,37.68683274021352,0.01779359430604982,37.68683274021352,0.1494661921708185,316.56939501779357,Kufa,Al-Kufa,الكوفة,IQG04Q01,Al-Najaf,النجف,IQG04
al.kut,3762,3762,0.08142493638676845,306.3206106870229,0.020356234096692113,76.58015267175573,0.017811704834605598,67.00763358778626,0.08396946564885496,315.89312977099235,Kut,Al-Kut,الكوت,IQG18Q02,Wassit,واسط,IQG18
al.mussyab,14814,14814,0.14193548387096774,2102.632258064516,0.016129032258064516,238.93548387096774,0.016129032258064516,238.93548387096774,0.14193548387096774,2102.632258064516,Al-Musayab,Al-Mussyab,المسيب,IQG07Q04,Babil,بابل,IQG07
al.najaf,9306,9306,0.10112359550561797,941.0561797752808,0.00749063670411985,69.70786516853933,0.003745318352059925,34.853932584269664,0.10486891385767791,975.9101123595506,Najaf,Al-Najaf,النجف,IQG04Q03,Al-Najaf,النجف,IQG04
al.nasiriya,1926,1926,0.13680781758957655,263.4918566775244,0.02931596091205212,56.46254071661238,0.02931596091205212,56.46254071661238,0.13680781758957655,263.4918566775244,Nassriya,Al-Nasiriya,الناصرية,IQG17Q04,Thi Qar,ذي قار,IQG17
al.ramadi,7056,606054,0.0882016036655212,622.3505154639175,0.009163802978235968,64.65979381443299,0.009163802978235968,64.65979381443299,0.0882016036655212,622.3505154639175,Ramadi,Al-Ramadi,الرمادي,IQG01Q03,Al-Anbar,الانبار,IQG01
al.rutba,3096,30624,0.1592920353982301,493.16814159292034,0.01327433628318584,41.097345132743364,0.008849557522123894,27.398230088495573,0.16371681415929204,506.86725663716817,Al-Rutba,Al-Rutba,الرطبة,IQG01Q04,Al-Anbar,الانبار,IQG01
balad,4506,72078,0.15141955835962145,682.2965299684543,0.05678233438485805,255.86119873817037,0.04731861198738171,213.21766561514198,0.16088328075709782,724.9400630914828,Balad,Balad,بلد,IQG16Q04,Salah Al-Din,صلاح الدين,IQG16
chamchamal,9510,9510,0.14202898550724638,1350.695652173913,0.008695652173913044,82.69565217391305,0.005797101449275362,55.130434782608695,0.14492753623188406,1378.2608695652175,Chamchamal,Chamchamal,جمجمال,IQG06Q02,Al-Sulaymaniyah,السليمانية,IQG06
daquq,6096,23586,0.11265432098765434,686.7407407407409,0.0154320987654321,94.07407407407408,0.01388888888888889,84.66666666666667,0.11419753086419754,696.1481481481482,Daquq,Daquq,داقوق,IQG13Q02,Kirkuk,كركوك,IQG13
derbendikhan,4446,4446,0.11641791044776119,517.5940298507462,0.020895522388059702,92.90149253731343,0.008955223880597015,39.81492537313433,0.12835820895522387,570.6805970149253,Darbandikhan,Derbendikhan,دربندخان,IQG06Q03,Al-Sulaymaniyah,السليمانية,IQG06
dibis,1428,8664,0.09090909090909091,129.8181818181818,0.04155844155844156,59.345454545454544,0.023376623376623377,33.38181818181818,0.10909090909090909,155.78181818181818,Dabes,Dibis,دبس,IQG13Q03,Kirkuk,كركوك,IQG13
dokan,5274,5274,0.10119047619047619,533.6785714285714,0.020833333333333332,109.875,0.008928571428571428,47.08928571428571,0.11309523809523808,596.4642857142857,Dokan,Dokan,دوكان,IQG06Q04,Al-Sulaymaniyah,السليمانية,IQG06
duhok,29808,29808,0.1808176100628931,5389.811320754718,0.04088050314465409,1218.5660377358492,0.03459119496855346,1031.0943396226414,0.18710691823899372,5577.2830188679245,Dahuk,Duhok,دهوك,IQG09Q02,Duhok,دهوك,IQG09
halabcha,6516,6516,0.14,912.2400000000001,0.0125,81.45,0.01,65.16,0.14250000000000002,928.5300000000001,Halabja,Halabcha,حلبجة,IQG06Q05,Al-Sulaymaniyah,السليمانية,IQG06
heet,1392,177702,0.12596899224806202,175.34883720930233,0.023255813953488372,32.372093023255815,0.01744186046511628,24.27906976744186,0.13178294573643412,183.4418604651163,Heet,Heet,هيت,IQG01Q07,Al-Anbar,الانبار,IQG01
kerbela,12834,12834,0.1346153846153846,1727.653846153846,0.028846153846153844,370.21153846153845,0.028846153846153844,370.21153846153845,0.1346153846153846,1727.653846153846,Kerbala,Kerbela,كربلاء,IQG12Q03,Kerbala,كربلاء,IQG12
kifri,7248,8568,0.11224489795918366,813.5510204081631,0.028061224489795915,203.38775510204079,0.015306122448979591,110.93877551020408,0.12499999999999999,905.9999999999999,Kifri,Kifri,كفري,IQG10Q06,Diyala,ديالى,IQG10
koysinjaq,2940,2940,0.09850746268656717,289.6119402985075,0.014925373134328358,43.88059701492537,0.008955223880597015,26.328358208955226,0.1044776119402985,307.1641791044776,Koisnjaq,Koysinjaq,كويسنجق,IQG11Q03,Erbil,اربيل,IQG11
rania,2382,2382,0.14067278287461774,335.08256880733944,0.021406727828746176,50.99082568807339,0.01834862385321101,43.706422018348626,0.1437308868501529,342.3669724770642,Rania,Rania,رانية,IQG06Q09,Al-Sulaymaniyah,السليمانية,IQG06
rawanduz,2124,2124,0.11259541984732824,239.15267175572518,0.02480916030534351,52.69465648854962,0.022900763358778626,48.6412213740458,0.11450381679389313,243.206106870229,Soran,Rawanduz,راوندوز,IQG11Q05,Erbil,اربيل,IQG11
samarra,16650,74112,0.16346153846153846,2721.6346153846152,0.01282051282051282,213.46153846153845,0.01282051282051282,213.46153846153845,0.16346153846153846,2721.6346153846152,Samarra,Samarra,سامراء,IQG16Q05,Salah Al-Din,صلاح الدين,IQG16
shaqlawa,5058,5058,0.13934426229508196,704.8032786885245,0.02459016393442623,124.37704918032787,0.01639344262295082,82.91803278688525,0.14754098360655737,746.2622950819672,Shaqlawa,Shaqlawa,شقلاوة,IQG11Q06,Erbil,اربيل,IQG11
sinjar,33588,131022,0.0975609756097561,3276.878048780488,0.00975609756097561,327.6878048780488,0.004878048780487805,163.8439024390244,0.1024390243902439,3440.721951219512,Sinjar,Sinjar,سنجار,IQG15Q07,Ninewa,نينوى,IQG15
telafar,9228,361230,0.0845771144278607,780.4776119402985,0.014925373134328358,137.73134328358208,0.004975124378109453,45.91044776119403,0.0945273631840796,872.2985074626865,Telafar,Telafar,تلعفر,IQG15Q08,Ninewa,نينوى,IQG15
tilkaef,9306,110508,0.0880503144654088,819.3962264150942,0.015723270440251572,146.32075471698113,0.009433962264150943,87.79245283018868,0.09433962264150943,877.9245283018868,Tilkaif,Tilkaef,تلكيف,IQG15Q09,Ninewa,نينوى,IQG15
tooz.khurmato,21660,73830,0.06267409470752089,1357.5208913649024,0.01532033426183844,331.8384401114206,0.004178272980501393,90.50139275766017,0.07381615598885793,1598.8579387186628,Tuz Khurmatu,Tooz Khurmato,طوز خورماتو,IQG16Q07,Salah Al-Din,صلاح الدين,IQG16
